Status,File,Node,Line ID,Hash,Text
,"scenes/main_scene1_initial.yarn",,,,
,,"Start",,,
,,,"#610621","#a7236a","[Use o MOUSE ou as SETAS para escolher falas]\n[Use o MOUSE ou a BARRA DE ESPAÇO para confirmar]"
,,,"#1f1acc","#4a449f","Dia 1 - Dormitório"
,,,"#c6d8fd","#28cb97","???: Ei."
,,,"#e324cd","#369020","???: Eii!"
,,,"#d34bfa","#336489","???: Tá ouvindo?"
,,,"#7fd5e4","#a7ce97","???: ..."
,,,"#7cd864","#489a53","???: Acorda!"
,,,"#ce807b","#4b8cc2","VOCÊ: Ugh..."
,,,"#d7b82c","#be5a57","Você acorda já atrasade para seu primeiro\ndia de aula."
,,,"#6e4123","#f9c75d","Parece que seu despertador não tocou..."
,,,"#3009e7","#fe4d1c","Quem lhe acorda é seu colega de quarto, Mandacaru."
,,,"#79ceda","#b04f54","MANDACARU: Uau, finalmente! Como dorme!"
,,,"#c31ed1","#0a636b","MANDACARU: Por sinal..."
,,,"#966273","#1879c4","MANDACARU: Você não deveria\nestar na aula? Já são 8h40..."
,,,"#44de14","#16ab74","Por um segundo, você questiona o sadismo daqueles que \ndecidiram o horário de 7h30 para uma aula matinal..."
,,,"#d82166","#395f22","VOCÊ: Ahh--! Droga... Estou atrasade!"
,,,"#38e002","#47c7de","MANDACARU: Pois é, e logo no seu primeiro dia. Vixe."
,,,"#32479d","#b43be5","MANDACARU: Eu até diria que está tudo bem, que essas\ncoisas acontecem..."
,,,"#08cb14","#43bfc8","MANDACARU: Mas honestamente, depende mais do professor."
,,,"#4acc9c","#59f433","MANDACARU: É bom torcer pra que seja alguém legal."
,,,"#0ce9bb","#80e09e","Com toda a pressa do universo,\nvocê se arruma para sair."
,,,"#3c677a","#93c3f9","Você se sente nervose."
,,,"#12b01e","#3ef1e1","Esse é seu\nprimeiro dia de aula e você não conhece ninguém,\nmas já está chegando fora do horário..."
,"scenes/main_scene2_unicorridor.yarn",,,,
,,"Start",,,
,,,"#adf93e","#49036a","Dia 1 - Corredores da universidade (Bloco da Biologia)"
,,,"#261832","#02be97","VOCÊ: ..."
,,,"#bf8a56","#bbfc3c","VOCÊ: ... Ah. Tenho que ver qual a minha sala."
,,,"#1c78d6","#344597","VOCÊ: Ainda bem que anotei, eu vivo esquecendo essas coisas."
,,,"#fe37e1","#1dbe76","Se você não tivesse anotado estaria em maus lençóis."
,,,"#a57f96","#71e2fe","Pois o único outro jeito de obter essa informação\nnesses tempos modernos seria pelo aplicativo\nsuper confuso da universidade."
,,,"#b38d17","#5a1b71","A interface gráfica é terrível.\nÔ coisa difícil é achar qualquer coisa por lá."
,,,"#4d2239","#94e1b5","..."
,,,"#c32888","#acbca5","Logo ali em frente parece ter uma pessoa ainda mais\nperdida que você, o que é até uma raridade."
,,,"#73c650","#795c3a","Elu não parece perceber que alguém se aproxima."
,,,"#eacf5e","#9605ef","???: Ah... Qual será...?"
,,,"#cfead9","#aacf9d","???: Hum..."
,,,"#59dc20","#d954b0","???: *suspiro* ..."
,,,"#2a9757","#d954b0","???: *suspiro* ..."
,,,"#cd7289","#387c69","Precisa de ajuda?"
,,,"#27119e","#f63b94","A pessoa a sua frente se vira em sua\ndireção, com uma expressão confusa."
,,,"#a35e21","#61c83c","???: Huh?"
,,,"#1a6302","#61c83c","???: Huh?"
,,,"#5a300c","#8d5b06","Ah... Perdão. Não queria lhe dar um susto."
,,,"#dd5f2a","#d34e99","???: Ah..! Eu estou bem. Não se preocupe.\nApenas não esperava alguém falar comigo."
,,,"#0acc65","#164dfb","VOCÊ: Hum? Ok. Er... Então.\nPor acaso você tá procurando sua sala?"
,,,"#e67a8b","#0d72eb","Está tudo bem?"
,,,"#f099dc","#d34e99","???: Ah..! Eu estou bem. Não se preocupe.\nApenas não esperava alguém falar comigo."
,,,"#104f1c","#164dfb","VOCÊ: Hum? Ok. Er... Então.\nPor acaso você tá procurando sua sala?"
,,,"#4008bd","#055dd7","Huh... Oi. Você por acaso está perdide?"
,,,"#43da49","#d31b80","???: E-eu? Perdide? Ha-ha..."
,,,"#d0a7d7","#5cbf2b","???: Por que você acha isso?"
,,,"#87a6cb","#60f466","VOCÊ: Me desculpe por assumir assim.\nÉ porque você está no corredor já há algum tempo."
,,,"#218462","#fa164f","???: Então..."
,,,"#7028ae","#80b658","???: Não diria que estou perdide,\napenas não sei o número da minha sala."
,,,"#5024c9","#94e1b5","..."
,,,"#757462","#0cef5b","Isso não seria o mesmo que estar perdide?"
,,,"#0cc148","#c9ed8a","???: Huh... Acho que você tem um ponto..."
,,,"#687853","#9c623e","???: Bom, é minha primeira vez na universidade,\nentão admito que estou um pouco confuse com tudo..."
,,,"#944d93","#9b8cbd","VOCÊ: Ah... é. Eu bem que te entendo. Não\nacredito que me atrasei logo pro primeiro dia..."
,,,"#e6cec6","#3e00c2","???: Tudo bem, eu te entendo. Também estou atrasade!"
,,,"#324697","#cb683b","VOCÊ: Hum. Por acaso você está procurando sua sala?"
,,,"#e97711","#23d115","Eai, vai ficar plantade aí?"
,,,"#50dbd0","#e63d10","???: Ah... uh... plantade haha, entendi..."
,,"Name",,,
,,,"#1109a1","#67c530","VOCÊ: Você também é do curso de biologia?\nQual o seu nome?"
,,,"#5544fe","#34bb85","IPÊ: Ah, eu me chamo Ipê!\nMuito prazer!"
,,,"#c139b8","#a3c3a8","IPÊ: E também sou do curso de biologia."
,,"Professor",,,
,,,"#027eb6","#4dd328","???: Que conversa toda é essa aqui fora da sala?"
,,,"#22e2a7","#06b74f","Um senhor com uma extensa barba folheada\nabre a porta de uma das salas ali perto."
,,,"#0dfa65","#97b768","???: Hum... Seu nome eu esqueci agora,\nmas você deve ser Ipê."
,,,"#e67d89","#1a9088","VOCÊ: Opa. Como você sabe disso?"
,,,"#575694","#092def","PROFESSOR: Bom, eu sou o professor de Fundamentos da Botânica,\na matéria ministrada nessa sala de aula que\nvocês estão perante."
,,,"#86c1cb","#3b7948","PROFESSOR: Me chamo Samambaia.\nMas todos me chamam de Professor Mamba."
,,,"#fc7820","#085c9c","PROFESSOR: Tem duas pessoas que faltaram na chamada,\ne estou presumindo que são vocês."
,,,"#ceae5d","#bba234","VOCÊ: Oops... Você está certo. Foi mal, professor."
,,,"#6f4646","#b0ee5d","VOCÊ: Acabamos de nos conhecer, por acaso\nestávamos com dificuldade de\nencontrar a sala."
,,,"#515ffc","#f96a36","VOCÊ: Por favor, não leve a mal."
,,,"#54bc9b","#b5a088","PROFESSOR: Eu não sou alguém de levar nada a mal, acredite."
,,,"#695689","#217901","PROFESSOR: O fato é que a turma já se dividiu\nem duplas e trios para fazer o projeto,\ne acredito que só sobrou vocês sem grupo."
,,,"#f03873","#fb79fe","PROFESSOR: Nesse caso, não terão\nescolha senão formar uma dupla."
,,,"#fc5710","#fb79fe","PROFESSOR: Nesse caso, não terão\nescolha senão formar uma dupla."
,,,"#365676","#0c86ca","Por mim sem problemas, professor!"
,,,"#5bedd2","#c1606f","PROFESSOR: Bom, a aula ainda não acabou."
,,,"#2b18e0","#c604c2","PROFESSOR: Então se não quiserem receber mais uma falta,\nrecomendo que entrem."
,,,"#e3a187","#094ba8","VOCÊ: Claro, claro!"
,,,"#fefafb","#bcfd48","Ah, poxa. Tudo bem, compreendo..."
,,,"#4734e3","#c1606f","PROFESSOR: Bom, a aula ainda não acabou."
,,,"#6a06da","#c604c2","PROFESSOR: Então se não quiserem receber mais uma falta,\nrecomendo que entrem."
,,,"#6e95e9","#094ba8","VOCÊ: Claro, claro!"
,,"Class",,,
,,,"#bfbf92","#d24e40","Você e Ipê acompanham o professor para\no restante da aula."
,,,"#6eb8ac","#f2a968","Vocês buscam sentar juntes no cantinho da sala."
,,,"#b62036","#d24e40","Você e Ipê acompanham o professor para\no restante da aula."
,,,"#07914d","#2a4c17","... Você percebe que Ipê buscou sentar afastade\nde você. Será proposital?"
,"scenes/main_scene3_unicorridor_afterclass.yarn",,,,
,,"Start",,,
,,,"#dab725","#569ab5","IPÊ: Ei, acabou que não deu tempo de falar antes."
,,,"#219e65","#b2b5af","IPÊ: Mas obrigade por tentar me ajudar hoje mais cedo."
,,,"#7937c0","#b2b5af","IPÊ: Mas obrigade por tentar me ajudar hoje mais cedo."
,,,"#9005c5","#7810ba","Sem problemas, estamos nessa juntes."
,,,"#b43877","#185516","IPÊ: Cara, você é uma planta muito gente boa!"
,,,"#5abbf3","#c19fbc","Só bora, garote. Vai dar bom."
,,,"#7fe8d7","#185516","IPÊ: Cara, você é uma planta muito gente boa!"
,,,"#0cb84a","#1733c9","Me meti em enrascada por você, mereço algo em troca?"
,,,"#df5266","#198c65","IPÊ: ..."
,,,"#fd00ae","#a43868","IPÊ: Sobre nosso trabalho, vou me esforçar."
,,,"#436b29","#9342b3","IPÊ: Mesmo eu não mandando tão bem\nem trabalho em grupo..."
,,,"#a53278","#d920f1","VOCÊ: Huh, é mesmo? Você não gosta?"
,,,"#e7a9e3","#a54dde","IPÊ: Ah... É besteira minha só."
,,,"#df41bb","#da2f77","IPÊ: Fico achando que sou um peso,\nmuitas vezes não consigo tomar a iniciativa."
,,,"#2ed74e","#4ae7fe","IPÊ: Eu também tenho dificuldade de\ninteragir com as pessoas, sabe?"
,,,"#6445c8","#358e49","IPÊ: Mas--!"
,,,"#847455","#a4c91c","IPÊ: Nessa universidade eu quero fazer diferente."
,,,"#775eeb","#e54e7d","IPÊ: Quero ser mais consistente e responsável!"
,,,"#1e0258","#45c7de","IPÊ: Quero fazer coisas incríveis, e ter amizades incríveis!"
,,,"#4f3677","#3e9268","IPÊ: Não vou ser um peso. Nunca mais."
,,,"#b0a8ab","#a5177f","VOCÊ: Isso me parece bastante determinação.\nQueria eu ter um pouquinho disso."
,,,"#23816f","#ddd579","VOCÊ: Mal começou o semestre e já\nme sinto tão cansade."
,,,"#cf1fc5","#f4091a","VOCÊ: Queria só poder tomar sol e dormir."
,,,"#b78722","#0209fd","IPÊ: Ha ha! Eu te entendo!"
,,,"#98c234","#e725f7","IPÊ: Afinal, tem coisa melhor do que\ntomar um sol no parque?"
,,,"#0b0a7a","#5d3f3a","IPÊ: É meu lugar favorito na face da Terra!"
,,,"#f14286","#fb649a","VOCÊ: Ah é? Nunca fui no parque da\ncidade, mas deve ser bem bacana."
,,,"#b16180","#a2c82a","IPÊ: Pera, é sério? Você nunca foi ao parque?"
,,,"#b3734e","#553904","VOCÊ: Não... Pelo menos não nessa cidade."
,,,"#273912","#25e729","VOCÊ: Eu na verdade não sou daqui.\nVim de outro reino."
,,,"#927fb2","#77effe","VOCÊ: É bacana lá no parque? O que você tanto gosta?"
,,,"#b1cfa7","#97ec11","IPÊ: Cara!! Lá no parque tem tanta coisa...!"
,,,"#3f7e08","#dad116","IPÊ: Pensa tudo bem verdinho...\nTem até uma estufa com várias plantas maravilhosas!"
,,,"#ca8a8e","#430fb9","IPÊ: Ah! Tem também mesas de jogos.\nE bancos que são ótimos pra ler um livro e estudar."
,,,"#5ce548","#22d008","IPÊ: Eu também amo escutar o som da água corrente do riacho..."
,,,"#610580","#b2fd34","Por um segundo, dá para perceber os olhos de Ipê\ncomo se brilhando, iluminados por uma paixão..."
,,,"#99ed3a","#41831f","Você sente que Ipê é muito mais do que uma pessoa tímida."
,,,"#7f5532","#d8c52e","IPÊ: Eu sei que pode parecer clichê, né?\nUma pessoa planta que ama um parque ecológico, ha ha..."
,,,"#5afea1","#e3725e","IPÊ: Mas tem algo de tão reconfortante em estar lá,\ncamuflade junto ao\nverde de toda a vegetação."
,,,"#9f0a81","#83d159","IPÊ: É um lugar que posso chamar de casa, sabe?"
,,,"#197963","#83d159","IPÊ: É um lugar que posso chamar de casa, sabe?"
,,,"#9ff7f8","#e6a351","Bora no parque então, aí podemos estudar lá."
,,,"#b11710","#116949","IPÊ: Nossa. Você quer mesmo ir?"
,,,"#29aa87","#829985","Ipê não consegue esconder sua animação,\ne você percebe as flores de seu cabelo \nmudando de cor, para um tom avermelhado."
,,,"#0b3b78","#801e71","Eu adoraria ir ao parque um dia.\nMas hoje precisamos terminar o trabalho."
,,,"#bf28fe","#0c1fa8","IPÊ: Ah... Tudo bem, então!"
,,,"#d901d6","#def7b1","IPÊ: Podemos ir pra lá, sim. Se você\nse sente mais confortável por lá."
,,,"#62d2ba","#fe033b","Olha, meu quarto tá cheio de coisa verde."
,,,"#ee9640","#01fd1c","IPÊ: Haha, seu quarto deve ser um jardim, então!"
,,,"#4001af","#8a2d20","IPÊ: Mas o parque ainda é o melhor\nlugar para pegar um pouco de ar fresco."
,,,"#3513ee","#62ff18","Vocês então decidem por retornar ao dormitório."
,,,"#63d59f","#4880b6","Ipê parece um pouco relutante, mas mesmo assim te acompanha."
,"scenes/main_scene4_mcthoughts.yarn",,,,
,,"Start",,,
,,,"#ce542f","#110288","Esse foi um dia bastante inesperado..."
,,,"#d2d842","#cca2e8","Pelo jeito como a manhã começou,\nvocê não achava que tiraria nada de bom dele."
,,,"#8c1870","#7ca7f2","Mas conhecer Ipê foi\ncertamente um diferencial."
,,,"#c5ac9e","#1a2636","Você se perde em seus próprios pensamentos."
,,,"#45b225","#fd1c1e","Teria algo aflorado ali entre vocês?"
,,,"#f8889f","#fd1c1e","Teria algo aflorado ali entre vocês?"
,,,"#1e230d","#04ec69","Acho que tem uma paixão germinando..."
,,,"#60c575","#f3aa7c","Sua mente volta à realidade\nquando vocês chegam no seu destino."
,,,"#2e556a","#d8cc2e","Nah. Somos apenas amigos."
,,,"#42d8e2","#f3aa7c","Sua mente volta à realidade\nquando vocês chegam no seu destino."
,,,"#7f0a5b","#2db90b","Eu não quero nada com ela."
,,,"#8f4f66","#f3aa7c","Sua mente volta à realidade\nquando vocês chegam no seu destino."
,"scenes/main_scene5-1_ecopark.yarn",,,,
,,"Start",,,
,,,"#0eb4b8","#081d55","IPÊ: Olha, chegamos no Parque Ecológico!\nBem-vinde ao meu habitat natural."
,,,"#25d466","#bd87c1","VOCÊ: É realmente um lugar incrível, Ipê."
,,,"#210488","#5858f1","VOCÊ: Cara, e pensar que eu nunca tinha vindo aqui antes."
,,,"#915c51","#1a1552","IPÊ: Eu te disse, é demais, né?"
,,,"#997629","#dc799d","IPÊ: Sabe, eu não esperava conhecer alguém que já conseguisse\nconversar assim tão bem logo no primeiro dia."
,,,"#8600be","#394bbf","IPÊ: Essas coisas costumam demorar mais pra mim."
,,,"#60cc93","#ce3894","VOCÊ: Você tinha mencionado mais cedo que tem\ndificuldade com trabalho em grupo."
,,,"#bf3a1e","#e24a2b","VOCÊ: E que também tem dificuldade em interagir."
,,,"#668a6b","#1dfea6","VOCÊ: Quer falar sobre isso?"
,,,"#b2e7cf","#1b82a7","IPÊ: Bom, eu sempre tive muita timidez,\ndesde criança."
,,,"#266e31","#87f35f","IPÊ: Já tive alguns problemas, sabe...\nEm que eu..."
,,,"#473c29","#923f97","IPÊ: Eu acabava sumindo dos trabalhos e deixando\nmeus colegas na mão..."
,,,"#1b4e3e","#475f7b","IPÊ: Alguns ficavam bem irritades comigo...\nE eu sei que com razão."
,,,"#7c0ab2","#849aad","IPÊ: Tudo porque eu... Eu não sei."
,,,"#d6109a","#b622eb","IPÊ: Eu só não tinha forças pra levantar da cama e ir para aula..."
,,,"#8a19c4","#2d3009","IPÊ: Eu sempre tive muito medo das pessoas.\nMedo de, sei lá, elas brigarem comigo..."
,,,"#4db09d","#02be97","VOCÊ: ..."
,,,"#276e1b","#1ff920","VOCÊ: Entendi."
,,,"#f560d1","#1ff920","VOCÊ: Entendi."
,,,"#ccd382","#9e2d22","Não há nada que você não possa vencer agora.\nEu acredito em você."
,,,"#4a8a9f","#65f987","IPÊ: Obrigade..."
,,,"#8d2e7e","#def157","IPÊ: Eu acredito que as coisas serão melhores agora."
,,,"#2e6350","#b2adc2","IPÊ: Aliás, já está sendo."
,,,"#863673","#ddd084","Mas veja. Isso acontecia porque eles\nte deixavam desconfortável, né?"
,,,"#c19751","#3cc488","IPÊ: Eu me sentia meio desconfortável, realmente..."
,,,"#277dab","#13e9a5","Você tem que ser forte e superar essa\ntimidez. Só assim as coisas vão melhorar."
,,,"#108ebd","#d97288","IPÊ: Ahh... Sim, você tem razão. E-eu vou me esforçar."
,,"Chitchat",,,
,,,"#f4eb03","#8920b4","IPÊ: Aquelas épocas... O sentimento era algo\nbem diferente de como me sinto aqui com você."
,,,"#aa41d6","#198c65","IPÊ: ..."
,,,"#ca4ff2","#d6bcd7","IPÊ: Ahh...! Desculpe, espero que não tenha soado estranho..."
,,,"#4d300d","#ccc131","Você viu nesse momento a sua chance\nde demonstrar seus sentimentos."
,,,"#654ae2","#924c82","VOCÊ: Eu na verdade queria dizer o mesmo."
,,,"#7c57b2","#0fa137","VOCÊ: É surpreendente o tanto que\nme sinto bem estando contigo, Ipê."
,,,"#7c0e41","#e7ac83","VOCÊ: Eu sinto um florescimento dentro\nde mim quando estou perto de você."
,,,"#e2feb5","#198c65","IPÊ: ..."
,,,"#5990bc","#3e732c","IPÊ: Ha ha ha... Até interessante você citar isso."
,,,"#9f3834","#206d0b","IPÊ: Por que no meu caso, é bem fácil perceber quando estou\nflorescendo. Certeza que você já notou..."
,,,"#8b8b9b","#7137aa","VOCÊ: Ah sim, suas flores mudam de cor. É bem fofo."
,,,"#74dd43","#20583e","IPÊ: Uhum... É até algo que me traz uma insegurança,\nvou ter que admitir."
,,,"#8dd598","#776028","IPÊ: É meio embaraçoso que as outras pessoas saibam o que\nestou sentindo por conta de uma reação que eu\nnão posso controlar."
,,,"#2ef3c9","#70ddce","IPÊ: Por isso eu não explico o que\ncada cor significa para as pessoas."
,,,"#c2142b","#58d3a2","IPÊ: Você teria que descobrir por si só."
,,,"#18ff24","#e9486a","IPÊ: Mas se ficarmos mais próximes,\nvocê vai acabar percebendo."
,,,"#c38a9c","#f085d7","O tempo passa, e mais conversa vai e vem."
,,,"#e8f734","#72d24f","Vocês percebem que o clima entre vocês\nestá bem agradável, mas que já está ficando tarde\ne o trabalho precisa ser feito."
,,,"#a913af","#94e1b5","..."
,,,"#60ca82","#c47669","VOCÊ: Sem problemas. Fico feliz que te deixo confortável."
,,,"#1ab4ba","#198c65","IPÊ: ..."
,,,"#c3650b","#0eb61d","VOCÊ: Olha só... Já mudou de cor de novo... Que bonitinho."
,,,"#12d6ee","#3a566c","IPÊ: Ahh! É bem fácil perceber quando estou\nflorescendo, né? As flores do meu cabelo mudam de cor..."
,,,"#407b4f","#563a5d","IPÊ: Huh... É até algo que me traz uma insegurança,\nvou ter que admitir."
,,,"#55c03c","#47a8a4","IPÊ: É meio embaraçoso que as outras\npessoas saibam o que estou sentindo por\nconta de uma reação que eu não posso controlar."
,,,"#fd0943","#aa1060","IPÊ: Por isso eu geralmente não\nexplico o que cada cor significa."
,,,"#28bd6e","#6a1493","VOCÊ: Tudo bem, eu respeito isso."
,,,"#b671f9","#5a968c","VOCÊ: ... Mas ao mesmo tempo, não precisa se preocupar."
,,,"#b437e3","#34dd79","VOCÊ: Eu sempre tento dar o meu melhor\npara que as pessoas se sintam confortáveis."
,,,"#eb8782","#d647b7","VOCÊ: Eu não iria lhe julgar\nnem me aproveitar para fazer\nqualquer brincadeira."
,,,"#9becc1","#04632d","IPÊ: Obrigade, você é muito gentil."
,,,"#b52f2e","#01af39","IPÊ: E assim, quanto mais nós nos\ntornamos amigos, você vai acabar\npercebendo por si só."
,,,"#f95ce6","#f085d7","O tempo passa, e mais conversa vai e vem."
,,,"#bc5a1e","#72d24f","Vocês percebem que o clima entre vocês\nestá bem agradável, mas que já está ficando tarde\ne o trabalho precisa ser feito."
,,"EcoParkAfter",,,
